"","X","id","menina","branco","cidade_id","escola_id","prof_id","name_muni","pib","prof_nome","prof_exp","inf","trtGrp","sala_pequena","sala_professor_integral","nota"
"55",55,55,0,0,5,"Caracol_1",97,"Caracol",3785.55929827932,"Adónias Melo",12.832083075327,1.72171104969468,1,0,0,46.9183146770164
"56",56,56,1,1,3,"Brejo Do Piauí_1",80,"Brejo Do Piauí",3422.31586763709,"Alberta Lopes",20.5563148600226,3.38877322173036,1,0,0,51.2213297692747
"57",57,57,1,1,5,"Caracol_3",101,"Caracol",3785.55929827932,"Balduíno Teixeira",5.37835681880243,5.81761028065809,2,1,0,63.4563298772625
"58",58,58,1,1,6,"Coronel José Dias_4",110,"Coronel José Dias",3999.82445163763,"Aldo Araújo",7.99981365137184,3.7293486817235,2,1,0,85.2974212669704
"59",59,59,0,0,9,"Fartura Do Piauí_2",131,"Fartura Do Piauí",4776.25290722364,"Marinei Fogaça",15.9602122449807,3.05600120553119,1,0,0,46.9992013954956
"60",60,60,0,0,9,"Fartura Do Piauí_3",133,"Fartura Do Piauí",4776.25290722364,"Haroldo Santos",8.71796310540477,5.50883055655879,2,1,0,53.1467299075478
"61",61,61,0,0,13,"São Braz Do Piauí_3",37,"São Braz Do Piauí",3937.90914067858,"Aurelino das Neves",17.9500866231975,4.81469205380835,3,0,1,48.0943259439689
"62",62,62,0,1,10,"Guaribas_2",11,"Guaribas",4178.51090409028,"Grácio Moura",17.0017756186327,8.15784131087524,3,0,1,49.4018979060431
"63",63,63,1,0,11,"Jurema_2",20,"Jurema",2736.02521851292,"Zelaci Pereira",14.5253106958483,3.44993278272548,2,1,0,65.3844132192539
"64",64,64,1,1,4,"Canto Do Buriti_2",90,"Canto Do Buriti",4236.55979260193,"Eusébio Almeida",15.3649447929394,8.48047378158709,3,0,1,44.0371246142805
"65",65,65,1,0,4,"Canto Do Buriti_3",92,"Canto Do Buriti",4236.55979260193,"Rolim das Neves",18.7583600420814,4.81312692415379,3,0,1,36.53497454648
"66",66,66,1,1,4,"Canto Do Buriti_1",89,"Canto Do Buriti",4236.55979260193,"Juno Araújo",20.6076298574722,7.00057268058296,2,1,0,81.8983594311014
"67",67,67,1,1,11,"Jurema_3",22,"Jurema",2736.02521851292,"Lutero Fernandes",16.1002196103384,3.08827241110571,2,1,0,85.6043038137005
"68",68,68,0,1,16,"Tamboril Do Piauí_4",63,"Tamboril Do Piauí",4790.74232599722,"Iolene Peixoto",8.44463974365809,4.62526456794013,3,0,1,37.7136187256669
"69",69,69,0,1,14,"São Lourenço Do Piauí_1",42,"São Lourenço Do Piauí",4633.46923739916,"Martino da Cunha",22.9467388290843,2.85075163420226,1,0,0,72.3358846931735
"70",70,70,0,1,13,"São Braz Do Piauí_2",36,"São Braz Do Piauí",3937.90914067858,"Mimosa Nascimento",14.1266585881462,3.06915814443172,1,0,0,40.9442010117565
"71",71,71,1,1,14,"São Lourenço Do Piauí_1",42,"São Lourenço Do Piauí",4633.46923739916,"Martino da Cunha",22.9467388290843,2.85075163420226,2,1,0,83.1780393464691
"72",72,72,0,1,11,"Jurema_1",17,"Jurema",2736.02521851292,"Judas da Luz",15.0209166187839,8.06832217997777,1,0,0,58.9442025249134
"73",73,73,0,0,11,"Jurema_4",24,"Jurema",2736.02521851292,"Cauani Caldeira",13.9911725928001,5.44270892261543,3,0,1,45.1010130010066
"74",74,74,1,0,10,"Guaribas_3",14,"Guaribas",4178.51090409028,"Edilaine Gomes",21.3317437820798,5.0149735580078,2,1,0,76.6679410331571
"75",75,75,1,0,1,"Anísio De Abreu_1",1,"Anísio De Abreu",3732.89859734518,"Amélia Fogaça",15.7970665669098,6.65894605774353,2,1,0,73.9205235089727
"76",76,76,1,0,11,"Jurema_2",19,"Jurema",2736.02521851292,"Josiane Sales",14.6680630638913,3.44993278272548,1,0,0,64.2628980304584
"77",77,77,0,1,4,"Canto Do Buriti_4",95,"Canto Do Buriti",4236.55979260193,"Santelmo da Mota",12.0816431033349,3.1287559622999,2,1,0,85.0205598119608
"78",78,78,1,1,17,"Várzea Branca_4",70,"Várzea Branca",5149.20657941617,"Isabéu Duarte",19.1640396110811,4.14534971985726,2,1,0,78.1297724715672
"79",79,79,1,1,11,"Jurema_2",20,"Jurema",2736.02521851292,"Zelaci Pereira",14.5253106958483,3.44993278272548,3,0,1,59.478061054098
"80",80,80,1,1,11,"Jurema_4",23,"Jurema",2736.02521851292,"Leiliane Pires",15.7545492729269,5.44270892261543,1,0,0,61.5206028570719
"81",81,81,1,0,9,"Fartura Do Piauí_4",135,"Fartura Do Piauí",4776.25290722364,"Varo Barbosa",20.1825508237164,7.04881362834772,2,1,0,96.0309626633137
"82",82,82,0,1,12,"Pajeú Do Piauí_4",32,"Pajeú Do Piauí",3905.61081179791,"Genésio Cavalcanti",16.4415810076643,3.66021920480037,1,0,0,41.3820877254656
"83",83,83,1,1,16,"Tamboril Do Piauí_2",58,"Tamboril Do Piauí",4790.74232599722,"Quim Mendes",16.511259855382,5.85686704600383,3,0,1,59.7266794781815
"84",84,84,0,1,6,"Coronel José Dias_1",105,"Coronel José Dias",3999.82445163763,"Antonino Dias",9.08330224296365,3.15495059127743,3,0,1,56.5154982952924
"85",85,85,1,0,11,"Jurema_3",21,"Jurema",2736.02521851292,"Lucas Rocha",7.58718739497113,3.08827241110571,3,0,1,61.9206309629407
"86",86,86,0,1,1,"Anísio De Abreu_1",1,"Anísio De Abreu",3732.89859734518,"Amélia Fogaça",15.7970665669098,6.65894605774353,1,0,0,64.7603803699219
"87",87,87,0,1,11,"Jurema_2",19,"Jurema",2736.02521851292,"Josiane Sales",14.6680630638913,3.44993278272548,1,0,0,62.5553229445702
"88",88,88,1,1,1,"Anísio De Abreu_3",5,"Anísio De Abreu",3732.89859734518,"Reis Jesus",15.4509366843661,2.16808499275934,2,1,0,100
"89",89,89,1,1,13,"São Braz Do Piauí_1",34,"São Braz Do Piauí",3937.90914067858,"Queija da Rosa",15.9051089298679,3.51917686924285,1,0,0,40.5843728104176
"90",90,90,1,1,2,"Bonfim Do Piauí_4",78,"Bonfim Do Piauí",5704.73948948163,"Max Fernandes",10.934035376168,5.00522569778429,1,0,0,66.3781183543528
"91",91,91,1,0,11,"Jurema_2",20,"Jurema",2736.02521851292,"Zelaci Pereira",14.5253106958483,3.44993278272548,1,0,0,59.2379463969518
"92",92,92,0,0,9,"Fartura Do Piauí_3",133,"Fartura Do Piauí",4776.25290722364,"Haroldo Santos",8.71796310540477,5.50883055655879,3,0,1,62.2291426301565
"93",93,93,0,0,5,"Caracol_4",103,"Caracol",3785.55929827932,"Herculano Martins",12.5591762246254,3.74539232952649,2,1,0,48.8192029904993
"94",94,94,0,0,4,"Canto Do Buriti_2",90,"Canto Do Buriti",4236.55979260193,"Eusébio Almeida",15.3649447929394,8.48047378158709,1,0,0,60.0984909833603
"95",95,95,0,1,14,"São Lourenço Do Piauí_4",48,"São Lourenço Do Piauí",4633.46923739916,"Inessa Nogueira",17.1809415697227,3.86409683432657,1,0,0,59.4963524875103
"96",96,96,1,1,16,"Tamboril Do Piauí_1",57,"Tamboril Do Piauí",4790.74232599722,"Rosimere Pereira",15.4425008505274,4.21458534344643,1,0,0,46.4817388024798
"97",97,97,1,1,4,"Canto Do Buriti_2",91,"Canto Do Buriti",4236.55979260193,"Soraia Rodrigues",15.4236789332356,8.48047378158709,2,1,0,84.6373502381446
"98",98,98,0,1,1,"Anísio De Abreu_1",2,"Anísio De Abreu",3732.89859734518,"Pitágoras Aragão",18.571854286462,6.65894605774353,3,0,1,48.1077148178025
"99",99,99,1,0,3,"Brejo Do Piauí_2",83,"Brejo Do Piauí",3422.31586763709,"Selmira Araújo",16.0564802881256,2.9538563662512,3,0,1,35.7320447286149
"100",100,100,0,1,11,"Jurema_4",23,"Jurema",2736.02521851292,"Leiliane Pires",15.7545492729269,5.44270892261543,1,0,0,47.6218056143353
"101",101,101,1,1,16,"Tamboril Do Piauí_2",59,"Tamboril Do Piauí",4790.74232599722,"Roselei Oliveira",17.4591844353792,5.85686704600383,3,0,1,69.0163582219253
"102",102,102,1,1,14,"São Lourenço Do Piauí_1",41,"São Lourenço Do Piauí",4633.46923739916,"Eliseu da Cunha",10.0931249521493,2.85075163420226,3,0,1,63.4051267954846
"103",103,103,1,1,1,"Anísio De Abreu_2",3,"Anísio De Abreu",3732.89859734518,"Felisberto da Costa",15.6474668624735,6.10256133803298,2,1,0,79.1128575096816
"104",104,104,1,1,10,"Guaribas_4",16,"Guaribas",4178.51090409028,"Hermelinda Nascimento",22.0386679623253,6.10325091166179,3,0,1,64.4053921154827
"105",105,105,0,1,6,"Coronel José Dias_4",111,"Coronel José Dias",3999.82445163763,"Juliano Mendes",1.9034575666293,3.7293486817235,1,0,0,54.6850666184473
"106",106,106,0,1,8,"Dom Inocêncio_3",125,"Dom Inocêncio",4110.47192881985,"Cristofe das Neves",13.478364802098,5.39694677603193,2,1,0,83.7349072192126
"107",107,107,1,0,9,"Fartura Do Piauí_3",133,"Fartura Do Piauí",4776.25290722364,"Haroldo Santos",8.71796310540477,5.50883055655879,3,0,1,67.4865672087642
"108",108,108,0,1,12,"Pajeú Do Piauí_2",28,"Pajeú Do Piauí",3905.61081179791,"Dioclécia Ramos",12.5623620734289,1.52640838862332,2,1,0,76.6816616354343
"109",109,109,0,0,13,"São Braz Do Piauí_2",35,"São Braz Do Piauí",3937.90914067858,"Cirlei Fogaça",16.4939291129576,3.06915814443172,2,1,0,64.3464349524706
"110",110,110,1,0,3,"Brejo Do Piauí_2",82,"Brejo Do Piauí",3422.31586763709,"Russel Melo",23.3584772491682,2.9538563662512,3,0,1,58.1456510999918
"111",111,111,1,0,13,"São Braz Do Piauí_4",39,"São Braz Do Piauí",3937.90914067858,"Samuel Pires",17.1966427119187,2.42774477647433,3,0,1,55.1251044093028
"112",112,112,1,1,6,"Coronel José Dias_3",109,"Coronel José Dias",3999.82445163763,"Fabrícia da Conceição",17.6026165273353,6.84518696185051,2,1,0,80.4664111187152
"113",113,113,1,0,14,"São Lourenço Do Piauí_2",43,"São Lourenço Do Piauí",4633.46923739916,"Sandrino Lopes",22.2772514433172,6.5933949696698,3,0,1,69.1431780522287
"114",114,114,0,1,4,"Canto Do Buriti_1",88,"Canto Do Buriti",4236.55979260193,"Carlene Pereira",21.2832587573139,7.00057268058296,2,1,0,87.7216904308864
"115",115,115,1,0,13,"São Braz Do Piauí_2",36,"São Braz Do Piauí",3937.90914067858,"Mimosa Nascimento",14.1266585881462,3.06915814443172,1,0,0,39.8539361014341
"116",116,116,1,0,11,"Jurema_1",18,"Jurema",2736.02521851292,"Nair Moura",15.2040349548981,8.06832217997777,1,0,0,56.1927343347436
"117",117,117,1,0,3,"Brejo Do Piauí_3",84,"Brejo Do Piauí",3422.31586763709,"Everalda da Conceição",8.0770594291796,5.90653672949772,2,1,0,69.0456660115178
"118",118,118,1,0,4,"Canto Do Buriti_4",94,"Canto Do Buriti",4236.55979260193,"Teodomiro Moreira",28.3224673547978,3.1287559622999,3,0,1,66.8873575434558
"119",119,119,1,0,5,"Caracol_4",102,"Caracol",3785.55929827932,"Sátiro de Souza",12.0572745003101,3.74539232952649,1,0,0,54.1058452495764
"120",120,120,1,0,17,"Várzea Branca_4",71,"Várzea Branca",5149.20657941617,"Mirza Alves",13.2442594176171,4.14534971985726,1,0,0,67.5546879759878
"121",121,121,0,0,15,"São Raimundo Nonato_2",52,"São Raimundo Nonato",5793.1325150633,"Lucimeri Campos",9.78065972745849,5.06312854490574,1,0,0,49.1594417610085
"122",122,122,1,1,11,"Jurema_3",21,"Jurema",2736.02521851292,"Lucas Rocha",7.58718739497113,3.08827241110571,3,0,1,46.4780246461501
"123",123,123,1,1,3,"Brejo Do Piauí_4",86,"Brejo Do Piauí",3422.31586763709,"Junilvana Lima",9.21110629839347,6.16904372214133,2,1,0,94.6948768885798
"124",124,124,1,1,12,"Pajeú Do Piauí_4",32,"Pajeú Do Piauí",3905.61081179791,"Genésio Cavalcanti",16.4415810076643,3.66021920480037,3,0,1,54.3309804076181
"125",125,125,1,1,17,"Várzea Branca_4",71,"Várzea Branca",5149.20657941617,"Mirza Alves",13.2442594176171,4.14534971985726,3,0,1,50.7099254471646
"126",126,126,1,1,10,"Guaribas_1",9,"Guaribas",4178.51090409028,"Bernardete Porto",13.9980199156403,3.21475862196924,1,0,0,59.2027366284661
"127",127,127,0,1,10,"Guaribas_4",15,"Guaribas",4178.51090409028,"Dúbia Peixoto",15.2658887530543,6.10325091166179,1,0,0,42.7090622557813
"128",128,128,1,1,12,"Pajeú Do Piauí_4",32,"Pajeú Do Piauí",3905.61081179791,"Genésio Cavalcanti",16.4415810076643,3.66021920480037,3,0,1,57.1015359083452
"129",129,129,1,1,8,"Dom Inocêncio_3",124,"Dom Inocêncio",4110.47192881985,"Zaíro Nunes",16.1350479225583,5.39694677603193,3,0,1,62.1356385882022
"130",130,130,1,0,5,"Caracol_3",100,"Caracol",3785.55929827932,"Celso Aragão",9.07761273174509,5.81761028065809,1,0,0,61.1100337710175
"131",131,131,1,1,13,"São Braz Do Piauí_2",36,"São Braz Do Piauí",3937.90914067858,"Mimosa Nascimento",14.1266585881462,3.06915814443172,2,1,0,63.9903460693891
"132",132,132,0,1,7,"Dirceu Arcoverde_1",113,"Dirceu Arcoverde",5229.34802253056,"Estéfani da Paz",9.98113322070371,7.99711333599123,1,0,0,51.9464372298807
"133",133,133,0,1,9,"Fartura Do Piauí_2",131,"Fartura Do Piauí",4776.25290722364,"Marinei Fogaça",15.9602122449807,3.05600120553119,1,0,0,63.4027998089987
"134",134,134,1,0,10,"Guaribas_3",14,"Guaribas",4178.51090409028,"Edilaine Gomes",21.3317437820798,5.0149735580078,3,0,1,49.9093324806097
"135",135,135,1,1,4,"Canto Do Buriti_2",91,"Canto Do Buriti",4236.55979260193,"Soraia Rodrigues",15.4236789332356,8.48047378158709,3,0,1,63.3953924000274
"136",136,136,0,0,11,"Jurema_3",22,"Jurema",2736.02521851292,"Lutero Fernandes",16.1002196103384,3.08827241110571,1,0,0,44.5464775322045
"137",137,137,1,0,3,"Brejo Do Piauí_3",85,"Brejo Do Piauí",3422.31586763709,"Lucélia Moura",19.9996340621498,5.90653672949772,2,1,0,68.9453206422004
"138",138,138,1,0,11,"Jurema_1",18,"Jurema",2736.02521851292,"Nair Moura",15.2040349548981,8.06832217997777,2,1,0,54.9488385597068
"139",139,139,0,0,16,"Tamboril Do Piauí_2",58,"Tamboril Do Piauí",4790.74232599722,"Quim Mendes",16.511259855382,5.85686704600383,2,1,0,51.2516864853368
"140",140,140,1,1,16,"Tamboril Do Piauí_1",57,"Tamboril Do Piauí",4790.74232599722,"Rosimere Pereira",15.4425008505274,4.21458534344643,3,0,1,77.0669945102485
"141",141,141,1,0,12,"Pajeú Do Piauí_1",25,"Pajeú Do Piauí",3905.61081179791,"Hortênsia Fogaça",15.6089788789937,2.99624831112166,1,0,0,55.740245086284
"142",142,142,1,1,11,"Jurema_4",23,"Jurema",2736.02521851292,"Leiliane Pires",15.7545492729269,5.44270892261543,3,0,1,72.0533102955275
"143",143,143,1,0,13,"São Braz Do Piauí_4",39,"São Braz Do Piauí",3937.90914067858,"Samuel Pires",17.1966427119187,2.42774477647433,2,1,0,60.5616408642146
"144",144,144,0,1,3,"Brejo Do Piauí_2",83,"Brejo Do Piauí",3422.31586763709,"Selmira Araújo",16.0564802881256,2.9538563662512,3,0,1,50.3778914298776
"145",145,145,0,1,11,"Jurema_1",18,"Jurema",2736.02521851292,"Nair Moura",15.2040349548981,8.06832217997777,2,1,0,84.1645512833247
"146",146,146,0,0,8,"Dom Inocêncio_4",127,"Dom Inocêncio",4110.47192881985,"Aramis Castro",14.9619007815093,6.89243675113251,3,0,1,52.0269040180037
"147",147,147,1,1,11,"Jurema_4",24,"Jurema",2736.02521851292,"Cauani Caldeira",13.9911725928001,5.44270892261543,3,0,1,72.6731645714581
"148",148,148,1,1,1,"Anísio De Abreu_3",5,"Anísio De Abreu",3732.89859734518,"Reis Jesus",15.4509366843661,2.16808499275934,1,0,0,43.0337819921724
"149",149,149,1,1,5,"Caracol_2",99,"Caracol",3785.55929827932,"Omer Duarte",12.337119808176,3.92166196604778,1,0,0,52.3289594188562
"150",150,150,1,0,9,"Fartura Do Piauí_2",130,"Fartura Do Piauí",4776.25290722364,"Nicol Sales",20.4240059022297,3.05600120553119,3,0,1,66.8047961319124
"151",151,151,0,1,7,"Dirceu Arcoverde_1",112,"Dirceu Arcoverde",5229.34802253056,"Lucas Pereira",20.2135553812721,7.99711333599123,3,0,1,61.4787914302088
"152",152,152,1,1,13,"São Braz Do Piauí_1",34,"São Braz Do Piauí",3937.90914067858,"Queija da Rosa",15.9051089298679,3.51917686924285,1,0,0,52.9662023917088
"153",153,153,0,0,3,"Brejo Do Piauí_1",80,"Brejo Do Piauí",3422.31586763709,"Alberta Lopes",20.5563148600226,3.38877322173036,3,0,1,33.0615109787995
"154",154,154,1,1,6,"Coronel José Dias_3",109,"Coronel José Dias",3999.82445163763,"Fabrícia da Conceição",17.6026165273353,6.84518696185051,2,1,0,75.6746443396684
"155",155,155,1,1,8,"Dom Inocêncio_1",120,"Dom Inocêncio",4110.47192881985,"Verdi da Cunha",13.4364360685505,2.9862234051959,2,1,0,80.79080451508
"156",156,156,1,1,17,"Várzea Branca_2",66,"Várzea Branca",5149.20657941617,"Aquino Silveira",5.37366472904942,5.13032284431646,1,0,0,78.0515834555361
"157",157,157,1,1,7,"Dirceu Arcoverde_2",114,"Dirceu Arcoverde",5229.34802253056,"Benvindo Viana",19.4297907025963,5.17095785922312,2,1,0,59.5938718823942
"158",158,158,1,1,16,"Tamboril Do Piauí_3",60,"Tamboril Do Piauí",4790.74232599722,"Caetano Moura",17.6140068784045,6.24021833784871,2,1,0,75.6922037561444
"159",159,159,0,0,14,"São Lourenço Do Piauí_1",42,"São Lourenço Do Piauí",4633.46923739916,"Martino da Cunha",22.9467388290843,2.85075163420226,2,1,0,73.8340673501939
"160",160,160,1,0,12,"Pajeú Do Piauí_4",32,"Pajeú Do Piauí",3905.61081179791,"Genésio Cavalcanti",16.4415810076643,3.66021920480037,1,0,0,35.6357494202906
"161",161,161,0,0,11,"Jurema_2",19,"Jurema",2736.02521851292,"Josiane Sales",14.6680630638913,3.44993278272548,2,1,0,39.0114460965508
